상호명,구분,주소,회차
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1014
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1014
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1014
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1014
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1014
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1014
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1014
목화휴게소,자동,경남 사천시 사천대로 912 ,1014
신세계,자동,제주 제주시 고마로14길 7 ,1014
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1015
로또 명당,자동,대구 동구 화랑로75길 69 ,1015
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1015
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1015
대한유통,자동,울산 북구 박상진11로 1 1층112호,1015
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1015
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1015
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1015
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1015
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1015
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1015
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1015
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1015
목화휴게소,자동,경남 사천시 사천대로 912 ,1015
신세계,자동,제주 제주시 고마로14길 7 ,1015
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1016
로또 명당,자동,대구 동구 화랑로75길 69 ,1016
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1016
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1016
대한유통,자동,울산 북구 박상진11로 1 1층112호,1016
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1016
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1016
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1016
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1016
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1016
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1016
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1016
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1016
목화휴게소,자동,경남 사천시 사천대로 912 ,1016
신세계,자동,제주 제주시 고마로14길 7 ,1016
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1017
로또 명당,자동,대구 동구 화랑로75길 69 ,1017
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1017
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1017
대한유통,자동,울산 북구 박상진11로 1 1층112호,1017
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1017
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1017
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1017
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1017
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1017
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1017
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1017
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1017
목화휴게소,자동,경남 사천시 사천대로 912 ,1017
신세계,자동,제주 제주시 고마로14길 7 ,1017
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1018
로또 명당,자동,대구 동구 화랑로75길 69 ,1018
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1018
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1018
대한유통,자동,울산 북구 박상진11로 1 1층112호,1018
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1018
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1018
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1018
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1018
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1018
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1018
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1018
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1018
목화휴게소,자동,경남 사천시 사천대로 912 ,1018
신세계,자동,제주 제주시 고마로14길 7 ,1018
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1019
로또 명당,자동,대구 동구 화랑로75길 69 ,1019
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1019
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1019
대한유통,자동,울산 북구 박상진11로 1 1층112호,1019
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1019
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1019
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1019
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1019
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1019
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1019
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1019
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1019
목화휴게소,자동,경남 사천시 사천대로 912 ,1019
신세계,자동,제주 제주시 고마로14길 7 ,1019
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1020
로또 명당,자동,대구 동구 화랑로75길 69 ,1020
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1020
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1020
대한유통,자동,울산 북구 박상진11로 1 1층112호,1020
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1020
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1020
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1020
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1020
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1020
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1020
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1020
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1020
목화휴게소,자동,경남 사천시 사천대로 912 ,1020
신세계,자동,제주 제주시 고마로14길 7 ,1020
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1021
로또 명당,자동,대구 동구 화랑로75길 69 ,1021
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1021
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1021
대한유통,자동,울산 북구 박상진11로 1 1층112호,1021
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1021
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1021
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1021
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1021
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1021
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1021
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1021
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1021
목화휴게소,자동,경남 사천시 사천대로 912 ,1021
신세계,자동,제주 제주시 고마로14길 7 ,1021
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1022
로또 명당,자동,대구 동구 화랑로75길 69 ,1022
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1022
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1022
대한유통,자동,울산 북구 박상진11로 1 1층112호,1022
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1022
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1022
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1022
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1022
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1022
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1022
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1022
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1022
목화휴게소,자동,경남 사천시 사천대로 912 ,1022
신세계,자동,제주 제주시 고마로14길 7 ,1022
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1023
로또 명당,자동,대구 동구 화랑로75길 69 ,1023
