,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2455,2018,남부,군포시,외국인 (명),소계,6960.0
2456,2018,남부,군포시,외국인 (명),남자,3702.0
2457,2018,남부,군포시,외국인 (명),여자,3258.0
2458,2018,남부,군포시,세대당 인구 (명),소계,2.57
2459,2018,남부,군포시,65세이상 고령자 (명),소계,31814.0
2460,2018,남부,군포시,65세이상 고령자 (명),한국인,31712.0
2461,2018,남부,군포시,65세이상 고령자 (명),외국인,102.0
2462,2018,남부,군포시,평균연령 (세),소계,40.5
2463,2018,남부,군포시,인구밀도 (명/㎢),소계,7795.0
2464,2018,남부,군포시,인구밀도면적 (㎢),소계,36.4
2465,2018,남부,의왕시,세대수 (세대),소계,58946.0
2466,2018,남부,의왕시,등록인구 (명),소계,155084.0
2467,2018,남부,의왕시,등록인구 (명),남자,77416.0
2468,2018,남부,의왕시,등록인구 (명),여자,77668.0
2469,2018,남부,의왕시,한국인 (명),소계,153932.0
2470,2018,남부,의왕시,한국인 (명),남자,76834.0
2471,2018,남부,의왕시,한국인 (명),여자,77098.0
2472,2018,남부,의왕시,외국인 (명),소계,1152.0
2473,2018,남부,의왕시,외국인 (명),남자,582.0
2474,2018,남부,의왕시,외국인 (명),여자,570.0
2475,2018,남부,의왕시,세대당 인구 (명),소계,2.61
2476,2018,남부,의왕시,65세이상 고령자 (명),소계,19166.0
2477,2018,남부,의왕시,65세이상 고령자 (명),한국인,19146.0
2478,2018,남부,의왕시,65세이상 고령자 (명),외국인,20.0
2479,2018,남부,의왕시,평균연령 (세),소계,41.5
2480,2018,남부,의왕시,인구밀도 (명/㎢),소계,2872.0
2481,2018,남부,의왕시,인구밀도면적 (㎢),소계,54.0
2482,2018,남부,하남시,세대수 (세대),소계,105832.0
2483,2018,남부,하남시,등록인구 (명),소계,256760.0
2484,2018,남부,하남시,등록인구 (명),남자,129347.0
2485,2018,남부,하남시,등록인구 (명),여자,127413.0
2486,2018,남부,하남시,한국인 (명),소계,254415.0
2487,2018,남부,하남시,한국인 (명),남자,127865.0
2488,2018,남부,하남시,한국인 (명),여자,126550.0
2489,2018,남부,하남시,외국인 (명),소계,2345.0
2490,2018,남부,하남시,외국인 (명),남자,1482.0
2491,2018,남부,하남시,외국인 (명),여자,863.0
2492,2018,남부,하남시,세대당 인구 (명),소계,2.4
2493,2018,남부,하남시,65세이상 고령자 (명),소계,30344.0
2494,2018,남부,하남시,65세이상 고령자 (명),한국인,30309.0
2495,2018,남부,하남시,65세이상 고령자 (명),외국인,35.0
2496,2018,남부,하남시,평균연령 (세),소계,40.1
2497,2018,남부,하남시,인구밀도 (명/㎢),소계,2761.0
